epoch,total_loss,data_loss,boundary_loss,pde_loss,u_l2_error,k_l2_error,learning_rate
1,197.20435028076173,0.25741215497255326,0.04238730603829026,83.61220245361328,0.4891124665737152,0.6806946396827698,"tensor(0.0010, device='cuda:0', grad_fn=<MulBackward0>)"
2,190.0766860961914,0.09033700823783875,0.1559455841779709,82.72421340942383,0.5133659839630127,0.649769127368927,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
3,186.99061126708983,0.1375866137444973,0.08547579869627953,82.34218521118164,0.6052565574645996,0.6186140179634094,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
4,184.21519927978517,0.1295749105513096,0.08861231282353402,81.19823989868163,0.4985816776752472,0.5718302726745605,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
5,179.53484802246095,0.10134923532605171,0.11321090161800385,79.0394157409668,0.5081344842910767,0.5197513699531555,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
6,171.04642639160156,0.10040939450263978,0.09939057007431984,75.5332145690918,0.44554761052131653,0.44309788942337036,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
7,154.75442810058593,0.07357096746563911,0.11186912953853607,68.1052089691162,0.38972774147987366,0.3379391133785248,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
8,123.84498138427735,0.04896198809146881,0.10884731188416481,54.032025527954104,0.2813807725906372,0.21683262288570404,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
9,77.5381706237793,0.025881683453917503,0.08996644467115403,32.976678466796876,0.21387320756912231,0.35186657309532166,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
10,37.1718225479126,0.023263044096529482,0.05586161538958549,14.629678535461426,0.29021966457366943,0.7018467783927917,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
11,16.266863441467287,0.03775098398327827,0.0373971588909626,4.376024484634399,0.31191307306289673,0.9381425976753235,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
12,9.738948917388916,0.042048690095543864,0.03161852322518825,1.186113840341568,0.32297658920288086,1.0251027345657349,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
13,8.477833461761474,0.04482585750520229,0.03116162568330765,0.439542555809021,0.33210521936416626,1.0089726448059082,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
14,7.879957246780395,0.044753248989582065,0.029186493530869485,0.24299151599407195,0.3231699764728546,0.9453919529914856,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
15,7.333240175247193,0.04214219525456429,0.02725898437201977,0.1965611144900322,0.3096642792224884,0.8513729572296143,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
16,6.706804466247559,0.0377891905605793,0.02478700168430805,0.2245926022529602,0.28739121556282043,0.7500183582305908,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
17,6.061561632156372,0.032912805862724784,0.02250863742083311,0.25970864444971087,0.26934516429901123,0.6499873995780945,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
18,5.419590806961059,0.02832916472107172,0.01979223042726517,0.3037256270647049,0.2437305450439453,0.5584285259246826,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
19,4.783490180969238,0.023871561139822008,0.01715550748631358,0.34039166271686555,0.2240212857723236,0.47721007466316223,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
20,4.1468465566635135,0.019859507866203784,0.014856457989662886,0.337624990940094,0.20828473567962646,0.4055175185203552,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
21,3.525948095321655,0.01657842881977558,0.012240825034677983,0.32201136350631715,0.18087700009346008,0.34314316511154175,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
22,2.9347695827484133,0.013322006445378065,0.009961178805679084,0.3032255470752716,0.15503248572349548,0.2885313630104065,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
23,2.3996596813201903,0.010166600160300732,0.007766444142907858,0.30317762941122056,0.1355966180562973,0.24797052145004272,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
24,1.9337671160697938,0.007592832297086715,0.005894481763243675,0.2925178289413452,0.11657311767339706,0.22397641837596893,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
25,1.5616222500801087,0.005663630785420537,0.004172634775750339,0.2889978289604187,0.09718725830316544,0.21602822840213776,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
26,1.282918429374695,0.0041805242886766795,0.0029928400414064526,0.282791006565094,0.08885432779788971,0.21921810507774353,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
27,1.0878463447093965,0.0032596774864941834,0.001980329805519432,0.28192281574010847,0.07388101518154144,0.2284218966960907,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
28,0.9644083380699158,0.0027371333446353672,0.001355540845543146,0.2775704637169838,0.06319610029459,0.23739300668239594,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
29,0.8768983781337738,0.002442491240799427,0.0010006945463828742,0.26628990173339845,0.05981030315160751,0.24514886736869812,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
30,0.8179445445537568,0.002354872156865895,0.0007749417214654386,0.2524815708398819,0.058129869401454926,0.24964505434036255,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
31,0.7700065910816193,0.0022876907605677843,0.0006634209305047989,0.23744770884513855,0.05938202887773514,0.2538694143295288,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
32,0.7315368592739105,0.002299069496802986,0.000561355787795037,0.22274715453386307,0.059653136879205704,0.2564541697502136,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
33,0.6976331293582916,0.002291321218945086,0.0005236052529653534,0.2080702394247055,0.056430116295814514,0.2578248083591461,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
34,0.6659558117389679,0.0022887586848810313,0.0005153269070433453,0.19277363419532775,0.05772283300757408,0.25838690996170044,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
35,0.6393225729465485,0.002296168403699994,0.000501028445432894,0.17980144321918487,0.061714693903923035,0.25866737961769104,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
36,0.6164011478424072,0.0023125348147004844,0.0004675033444073051,0.1691986635327339,0.06052470579743385,0.26032236218452454,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
37,0.5964922308921814,0.0023360101971775294,0.0004459680028958246,0.15914720594882964,0.05889609828591347,0.2607901394367218,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
38,0.5769817590713501,0.0023149192100390794,0.0004444469319423661,0.1505225643515587,0.06113147735595703,0.26260361075401306,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
39,0.5611509025096894,0.0023572582751512526,0.0004004239686764777,0.14269133806228637,0.05866323411464691,0.2635902762413025,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
40,0.5430589258670807,0.002338193194009364,0.00041907575214281676,0.13366602137684822,0.0617249570786953,0.26353952288627625,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
41,0.5292143285274505,0.0023548205848783255,0.00039731331926304845,0.12700046524405478,0.06060497462749481,0.2648490369319916,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
42,0.5168120563030243,0.0023755760630592704,0.0003682172857224941,0.12121636942028999,0.059305861592292786,0.26587945222854614,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
43,0.5038191944360733,0.0023690012050792573,0.0003633867512689903,0.11529019847512245,0.06164535507559776,0.26674047112464905,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
44,0.4928762137889862,0.0023830397287383674,0.0003527077060425654,0.10965074002742767,0.061372868716716766,0.2665461599826813,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
45,0.48386708796024325,0.0023891487857326866,0.0003555718867573887,0.10469750910997391,0.06194041669368744,0.2670673727989197,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
46,0.4741609334945679,0.0024033792316913603,0.00033287195838056506,0.10026790872216225,0.0619334876537323,0.26823073625564575,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
47,0.465530601143837,0.002410502824932337,0.00032260381267406045,0.09610997065901757,0.06100853532552719,0.26867884397506714,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
48,0.45783261954784393,0.002412450476549566,0.00033105025358963757,0.09174127727746964,0.06169126182794571,0.26858797669410706,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
49,0.4481992840766907,0.002424237271770835,0.00031154481403063985,0.08731053620576859,0.06219182163476944,0.2695253789424896,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
50,0.44142262935638427,0.002430436876602471,0.0003070629754802212,0.08383632451295853,0.06256186962127686,0.2702502906322479,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
51,0.4358320623636246,0.0024365413235500457,0.0003023864090209827,0.08096964359283447,0.06314895302057266,0.269613653421402,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
52,0.42935265600681305,0.0024439071305096148,0.000302922009723261,0.07733487263321877,0.0632028728723526,0.2692505419254303,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
53,0.42329674363136294,0.0024561224039644004,0.00029341224435484035,0.07417164146900176,0.06215231493115425,0.27051666378974915,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
54,0.4154036343097687,0.0024575938005000353,0.00028643532132264225,0.07050036154687404,0.061747513711452484,0.27154579758644104,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
55,0.4101297616958618,0.002459317841567099,0.0002858953404938802,0.06780422292649746,0.06181974709033966,0.2716725468635559,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
56,0.40418101847171783,0.0024636596208438277,0.00028065977967344223,0.0648745395243168,0.06295853853225708,0.27183541655540466,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
57,0.39887275993824006,0.002470680559054017,0.0002761759940767661,0.06209355555474758,0.0626276433467865,0.27147629857063293,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
58,0.39399638772010803,0.002474181866273284,0.0002735808084253222,0.05961006097495556,0.0632949247956276,0.27195146679878235,"tensor(0.0010, device='cuda:0', grad_fn=<FillBackward3>)"
